frame,state,mask_area,cx,cy,chamfer_px,closure_score
000435,static_on_table,968,448.0,187.3,4.23,1.436
000436,static_on_table,966,448.0,187.3,2.99,1.433
000437,static_on_table,966,448.0,187.3,1.51,1.431
000438,static_on_table,919,450.7,185.8,3.20,1.429
000439,static_on_table,911,450.6,186.0,1.61,1.428
000440,static_on_table,837,452.7,184.7,2.92,1.427
000441,static_on_table,765,455.2,183.6,4.11,1.427
000442,static_on_table,676,457.8,182.6,3.98,1.426
000443,moving_independently,592,460.7,181.7,5.34,1.426
000444,moving_independently,592,460.8,181.7,4.14,1.426
000445,moving_independently,496,463.6,180.7,4.16,1.426
000446,moving_independently,496,463.6,180.7,2.93,1.426
000447,moving_independently,419,465.9,179.5,2.73,1.426
000448,moving_independently,418,466.0,179.5,2.70,1.426
000449,moving_independently,341,468.5,178.3,2.76,1.426
000450,moving_independently,341,468.5,178.3,2.77,1.426
000451,moving_independently,208,470.5,177.3,2.83,1.426
000452,moving_independently,111,471.8,176.8,4.38,1.426
000453,moving_independently,109,472.2,176.5,3.13,1.426
000454,moving_independently,126,451.0,195.7,13.64,1.426
000455,moving_independently,142,447.8,199.4,14.44,1.426
000456,moving_independently,175,438.3,208.9,5.37,1.426
000457,moving_independently,171,438.6,208.6,20.03,1.426
000458,moving_independently,247,436.4,212.3,13.80,1.427
000459,moving_independently,344,437.5,211.4,12.94,1.427
000460,moving_independently,464,438.7,211.1,8.26,1.427
000461,moving_independently,465,438.7,211.1,8.49,1.428
000462,moving_independently,573,440.1,210.1,4.29,1.429
000463,moving_independently,574,440.2,210.2,2.88,1.430
000464,moving_independently,734,441.4,209.4,3.13,1.431
000465,moving_independently,865,442.4,208.4,4.33,1.432
000466,moving_independently,876,442.4,208.6,2.97,1.431
000467,moving_independently,1061,444.0,208.3,4.47,1.427
000468,moving_independently,1064,444.0,208.3,2.91,1.424
000469,moving_independently,1283,445.8,208.2,3.16,1.422
000470,moving_independently,1518,447.8,207.7,4.78,1.423
000471,moving_independently,2341,449.3,217.4,7.28,1.425
000472,moving_independently,2617,450.8,216.6,8.61,1.428
000473,moving_independently,2613,450.8,216.6,7.03,1.430
000474,moving_independently,2934,452.5,215.8,6.95,1.430
000475,moving_independently,3273,454.4,215.2,4.11,1.429
000476,moving_independently,3275,454.4,215.2,2.84,1.428
000477,moving_independently,3623,456.1,214.3,4.29,1.427
000478,moving_independently,3623,456.1,214.3,2.90,1.426
000479,moving_independently,3914,457.7,213.4,2.67,1.425
000480,moving_independently,3920,457.7,213.3,2.68,1.425
000481,moving_independently,4244,459.4,212.9,2.48,1.425
000482,moving_independently,4248,459.4,212.9,2.49,1.425
000483,moving_independently,4475,460.9,212.3,2.18,1.425
000484,moving_independently,4479,460.9,212.3,2.17,1.425
000485,moving_independently,4827,462.3,211.6,2.27,1.425
000486,moving_independently,5082,464.0,211.1,3.13,1.425
000487,moving_independently,5327,465.4,210.9,3.04,1.426
000488,moving_independently,5338,465.4,210.9,3.05,1.426
000489,moving_independently,5550,466.6,210.3,2.66,1.427
000490,moving_independently,5549,466.6,210.3,1.66,1.427
000491,moving_independently,5727,468.1,210.3,1.89,1.428
000492,moving_independently,5876,469.1,210.3,1.87,1.428
000493,moving_independently,5870,469.1,210.4,1.20,1.428
000494,moving_independently,5974,470.1,210.3,1.67,1.428
000495,moving_independently,5973,470.1,210.3,1.34,1.428
000496,moving_independently,6068,470.8,210.1,0.87,1.429
000497,static_on_table,6124,471.3,210.2,1.04,1.429
000498,static_on_table,6122,471.3,210.1,0.58,1.429
000499,static_on_table,6157,471.4,210.1,0.68,1.430
000500,static_on_table,6182,471.6,210.2,0.49,1.431
000501,static_on_table,6183,471.6,210.2,0.24,1.433
000502,static_on_table,6177,471.5,210.1,0.24,1.435
000503,static_on_table,6159,471.6,210.2,0.20,1.437
000504,static_on_table,6163,471.7,210.2,0.14,1.439
000505,static_on_table,6168,471.5,210.1,0.14,1.439
000506,static_on_table,6174,471.5,210.1,0.11,1.437
000507,static_on_table,6157,471.6,210.2,0.15,1.434
000508,static_on_table,6165,471.4,210.2,0.23,1.432
